"","SYMBOL","ENTREZID"
"514","LYPLA1P1","100129401"
"515","RERG","85004"
"516","WAC","51322"
"517","CTHRC1","115908"
"518","FZD6","8323"
"519","BFSP2","8419"
"520","CDC42SE2","56990"
"521","LINC02429","105377247"
"522","LINC01789","105373536"
"523","PPP1R2P5","649489"
"524","EML6","400954"
"525","MIR5702","100847053"
"526","NYAP2","57624"
"527","GCNT7","140687"
"528","FAM209A","200232"
"529","FOXP1","27086"
"530","RNU6-281P","106481267"
"531","FOXE1","2304"
"532","TRMO","51531"
"533","ARVCF","421"
"534","DST","667"
"535","LINC02210-CRHR1","104909134"
"536","RFC5P1","100421549"
"537","ATP5MFP3","445573"
"538","EYA4","2070"
"539","LINC02836","105377922"
"540","RN7SKP211","106479189"
"541","SPATS1","221409"
"542","AARS2","57505"
"543","REEP3","221035"
"544","KCNH8","131096"
"545","EFHB","151651"
"546","PPP1R42","286187"
"547","VWA5B1","127731"
"548","SSBP4","170463"
"549","LRRC25","126364"
"550","G3BP1","10146"
"551","KNOP1P3","100128029"
"552","SMC4P1","100421125"
"553","RN7SKP141","106479157"
"554","BANK1","55024"
"555","SLC39A8","64116"
"556","RNU6-381P","106480576"
"557","FGF10","2255"
"558","RNA5SP107","100873377"
"559","KCNJ3","3760"
"560","LINC02214","102467223"
"561","RPS17P2","6219"
"562","TUBAP15","117751739"
"563","RNU6-718P","106481406"
"564","NDUFA9","4704"
"565","GAU1","101929549"
"566","ZNF862","643641"
"567","RNU6-21P","100302738"
"568","DPPA3P11","127460881"
"569","CELF2","10659"
"570","KATNAL2","83473"
"571","RNU6ATAC21P","106479552"
"572","TFAP2A","7020"
"573","C8orf44-SGK3","100533105"
"574","SGK3","23678"
"575","MIR137HG","400765"
"576","CDH13","1012"
"577","SORCS3","22986"
"578","RNA5SP261","100873515"
"579","KCTD9P6","642513"
"580","DPPA3P9","127460878"
"581","GTF2IP11","106480346"
"582","PHKG1P3","5262"
"583","LINC02619","105377245"
"584","LINC02494","105377671"
"585","LINGO1","84894"
"586","ARF4P4","100129023"
"587","LINC00377","103724386"
"588","CSMD3","114788"
"589","RPL34P29","100271503"
"590","NCOA5LP","118568822"
"591","LINC02240","101927460"
"592","RPSAP37","100270915"
"593","ACSL6","23305"
"594","ERC2","26059"
"595","MED12L","116931"
"596","FNIP2","57600"
"597","PPID","5481"
"598","LINC02109","101929660"
"599","LINC02279","107984637"
"600","RPL15P2","326279"
"601","FST","10468"
"602","RPL13AP13","402214"
"603","MEIKIN","728637"
"604","TULP4","56995"
"605","LINC02008","105377180"
"606","CSMD1","64478"
"607","THSD4","79875"
"608","TCAM1P","146771"
"609","MIR646HG","284757"
"610","LINC01718","100506470"
"611","MICAL2","9645"
"612","ZNF334","55713"
"613","OCSTAMP","128506"
"614","INTS14","81556"
"615","APBA1","320"
"616","RPEP2","645065"
"617","HMGB3P12","100873898"
"618","FIBP","9158"
"619","CCDC85B","11007"
"620","ERCC6L2-AS1","100128782"
"621","TLN2","83660"
"622","ABCA8","10351"
"623","RPTOR","57521"
"624","RPL12P37","100129801"
"625","MAP4","4134"
"626","LINC01031","101929184"
"627","RPL23AP22","100271291"
"628","ARFGEF2","10564"
"629","IGDCC4","57722"
"630","IGHV3-71","28411"
"631","IGHV2-70","28454"
"632","MIR4527HG","110175910"
"633","SKOR2","652991"
"634","RFX4","5992"
"635","POLR3B","55703"
"636","EEF1A1P17","401717"
"637","ADAMTS20","80070"
"638","BNIP3","664"
"639","JAKMIP3","282973"
"640","TRPS1","7227"
"641","CARS1P2","106481707"
"642","SAMD12-AS1","552860"
"643","FAM76B","143684"
"644","LNCRNA-IUR","101929295"
"645","CFAP46","54777"
"646","CHST12","55501"
"647","CENPE","1062"
"648","NIT2","56954"
"649","LINC02653","101926942"
"650","HTR7","3363"
"651","SOBP","55084"
"652","SCML4","256380"
"653","RPL5P19","100270906"
"654","RN7SL415P","106479375"
"655","UBXN11","91544"
"656","ZFPM2","23414"
"657","AGBL1","123624"
"658","FAM193B-DT","105377750"
"659","TMED9","54732"
"660","RNU7-190P","106479096"
"661","DDX18","8886"
"662","TRIP4","9325"
"663","FNIP1","96459"
"664","OTX2P1","100033409"
"665","RNU6-1228P","106480103"
"666","LINC02211","105374693"
"667","RNU6-374P","106481296"
"668","ZNF223","7766"
"669","ZNF222","7673"
"670","ESR2","2100"
"671","ZNF689","115509"
"672","MMS22L","253714"
"673","ZNF599","148103"
"674","LINC01801","400685"
"675","COL4A4","1286"
"676","FAT1","2195"
"677","MRPS36P2","347706"
"678","CDKAL1","54901"
"679","MRPS30","10884"
"680","HCN1","348980"
"681","LINC02466","101927282"
"682","PLCL1","5334"
"683","EGFLAM","133584"
"684","CDH19","28513"
"685","RNU6-1037P","106481508"
"686","DCBLD1","285761"
"687","TXNDC16","57544"
"688","PTGER2","5732"
"689","SNX29","92017"
